""
"time"," id"," long"," lat"," angle"," speed"," RSSI"," Throughput"
"415.00","21","23.763538","37.969967","311.729019","4.884129","80.60443038357242","40.30221519178621"
"415.00","22","23.764117","37.969437","318.372355","5.616441","57.1122911097495","28.556145554874753"
"415.00","23","23.764775","37.968813","318.577189","5.421137","76.57993352842092","38.28996676421046"
"415.00","24","23.767015","37.967631","97.338606","4.946208","78.12066829573497","39.060334147867486"
"415.00","25","23.765877","37.967932","117.778646","4.590662","67.5394194914367","33.76970974571835"
"415.00","6","23.760405","37.971552","298.342297","4.620600","59.29586737411168","29.64793368705584"
"415.00","8","23.774478","37.967167","81.863111","4.520286","82.00819242211428","41.00409621105714"
"416.00","11","23.760599","37.971463","298.342297","4.620600","65.06385955873472","32.53192977936736"
"416.00","12","23.760479","37.971518","298.342297","4.620600","63.08437145666298","31.54218572833149"
"416.00","13","23.774394","37.967159","81.131162","4.520286","77.10437842637482","38.55218921318741"
"416.00","14","23.774258","37.967144","79.580053","4.926181","52.16969895925976","26.08484947962988"
"416.00","15","23.760718","37.971409","298.342297","4.620600","73.86673153723373","36.933365768616866"
"416.00","16","23.772123","37.966987","96.521212","5.153207","62.787447266198754","31.393723633099377"
"416.00","17","23.763282","37.970140","305.385662","4.884129","72.47903151060743","36.239515755303714"
"416.00","18","23.771175","37.967156","103.937373","5.234089","67.99359648286898","33.99679824143449"
"416.00","19","23.770520","37.967297","102.231817","5.205408","34.003652718336696","17.001826359168348"
"416.00","20","23.763395","37.970073","310.362772","4.884129","37.30172988309043","18.650864941545215"
"416.00","21","23.763498","37.969997","311.729019","4.884129","30.458306666033238","15.229153333016619"
"416.00","22","23.764076","37.969476","318.372355","5.616441","58.21111136609617","29.10555568304808"
"416.00","23","23.764735","37.968850","318.577189","5.421137","33.03593971480433","16.517969857402164"
"416.00","24","23.767070","37.967624","97.338606","4.946208","67.73439290897251","33.867196454486255"
"416.00","25","23.765924","37.967914","114.496410","4.590662","53.677528674107606","26.838764337053803"
"416.00","6","23.760360","37.971573","298.342297","4.620600","58.14272966393009","29.07136483196505"
"416.00","8","23.774518","37.967170","82.668839","3.520286","46.98087699763175","23.490438498815873"
"417.00","11","23.760553","37.971484","298.342297","4.620600","65.91730166040523","32.958650830202615"
"417.00","12","23.760434","37.971539","298.342297","4.620600","60.46307392359966","30.23153696179983"
"417.00","13","23.774433","37.967163","81.863111","3.520286","64.80555607658938","32.40277803829469"
"417.00","14","23.774309","37.967150","79.580053","4.520286","71.1009810210385","35.55049051051925"
"417.00","15","23.760672","37.971430","298.342297","4.620600","55.30233127909853","27.651165639549266"
"417.00","16","23.772181","37.966983","93.251441","5.153207","52.259083005006765","26.129541502503386"
"417.00","17","23.763238","37.970167","305.385662","4.884129","58.67402679445154","29.337013397225768"
"417.00","18","23.771232","37.967143","103.937373","5.234089","66.51928606894161","33.259643034470805"
"417.00","19","23.770577","37.967286","103.085584","5.205408","49.533893651607386","24.766946825803693"
"417.00","20","23.763350","37.970100","305.385662","4.884129","61.08128495807736","30.54064247903868"
"417.00","21","23.763458","37.970028","311.729019","4.884129","55.69303253069484","27.84651626534742"
"417.00","22","23.764035","37.969515","318.372355","5.616441","21.1771123669595","10.58855618347975"
"417.00","23","23.764696","37.968888","318.577189","5.421137","55.98130799534352","27.99065399767176"
"417.00","24","23.767126","37.967618","96.033953","4.946208","82.94280153147191","41.471400765735964"
"417.00","25","23.765972","37.967897","111.948699","4.590662","74.40783341866087","37.203916709330436"
"417.00","6","23.760313","37.971592","296.123363","4.620600","64.63966189529722","32.31983094764861"
"417.00","8","23.774547","37.967171","84.174055","2.520286","57.04319637363327","28.521598186816636"
"418.00","11","23.760508","37.971505","298.342297","4.620600","90.89526826729153","45.447634133645764"
"418.00","12","23.760388","37.971560","298.342297","4.620600","62.916521176551775","31.458260588275888"
"418.00","13","23.774462","37.967165","81.863111","2.520286","28.659705710114032","14.329852855057016"
"418.00","14","23.774349","37.967155","79.580053","3.520286","49.44107040159237","24.720535200796185"
"418.00","15","23.760627","37.971451","298.342297","4.620600","72.29791967297929","36.148959836489645"
"418.00","16","23.772240","37.966979","93.251441","5.153207","41.93950862951283","20.969754314756415"
"418.00","17","23.763192","37.970191","301.919870","4.884129","52.88886384909567","26.444431924547835"
"418.00","18","23.771289","37.967130","103.937373","5.234089","60.15964135818288","30.07982067909144"
"418.00","19","23.770635","37.967274","103.085584","5.205408","47.48443653810388","23.742218269051943"
"418.00","20","23.763306","37.970126","305.385662","4.884129","48.96798962457022","24.483994812285108"
"418.00","21","23.763417","37.970058","311.729019","4.884129","48.11726701878266","24.058633509391328"
"418.00","22","23.763994","37.969553","318.372355","5.616441","55.27555411527129","27.637777057635645"
"418.00","23","23.764657","37.968926","318.577189","5.421137","72.1152010443743","36.05760052218715"
"418.00","24","23.767182","37.967612","95.726177","4.946208","52.35853393818246","26.17926696909123"
"418.00","25","23.766020","37.967880","111.948699","4.590662","50.19435762146718","25.09717881073359"
